time_slot,agent,p,pb_dn,pb_up,pr_dn,pr_up,s_dn,s_up,spot_price
103,0,0.0,0.0,457.0,0.0,457.0,0.0,0.0,514.27002
104,0,0.0,0.0,555.73333,0.0,555.73333,0.0,0.0,702.200012
104,1,0.0,0.0,435.4,0.0,435.4,0.0,0.0,702.200012
104,3,0.0,0.0,420.2,0.0,420.2,0.0,0.0,702.200012
105,0,0.0,0.0,592.4,0.0,592.4,0.0,0.0,602.650024
105,1,0.0,0.0,515.8,0.0,515.8,0.0,0.0,602.650024
105,2,0.0,0.0,457.8,0.0,457.8,0.0,0.0,602.650024
105,3,0.0,0.0,420.2,0.0,420.2,0.0,0.0,602.650024
106,0,0.0,0.0,592.4,0.0,592.4,0.0,0.0,537.090027
106,1,0.0,0.0,515.8,0.0,515.8,0.0,0.0,537.090027
106,2,0.0,0.0,559.13333,0.0,559.13333,0.0,0.0,537.090027
106,3,0.0,0.0,420.2,0.0,420.2,0.0,0.0,537.090027
106,4,0.0,0.0,277.6,0.0,277.6,0.0,0.0,537.090027
107,0,0.0,0.0,592.4,0.0,592.4,0.0,0.0,485.040009
107,1,0.0,0.0,515.8,0.0,515.8,0.0,0.0,485.040009
107,2,0.0,0.0,608.0,0.0,608.0,0.0,0.0,485.040009
107,3,0.0,0.0,420.2,0.0,420.2,0.0,0.0,485.040009
107,4,0.0,0.0,277.6,0.0,277.6,0.0,0.0,485.040009
108,0,398.02755,0.0,592.4,0.0,592.4,0.0,0.0,469.450012
108,1,307.40681,0.0,515.8,0.0,515.8,0.0,0.0,469.450012
108,2,117.87865,0.0,608.0,0.0,608.0,0.0,0.0,469.450012
108,3,420.2,0.0,420.2,0.0,420.2,0.0,0.0,469.450012
108,4,213.89155,0.0,277.6,0.0,277.6,0.0,0.0,469.450012
109,0,592.4,0.0,592.4,0.0,592.4,0.0,0.0,452.899994
109,1,515.8,0.0,515.8,0.0,515.8,0.0,0.0,452.899994
109,2,608.0,0.0,608.0,0.0,608.0,0.0,0.0,452.899994
109,3,420.2,0.0,420.2,0.0,420.2,0.0,0.0,452.899994
109,4,277.6,0.0,277.6,0.0,277.6,0.0,0.0,452.899994
110,0,592.4,0.0,592.4,0.0,592.4,0.0,0.0,430.670013
110,1,515.8,0.0,515.8,0.0,515.8,0.0,0.0,430.670013
110,2,608.0,0.0,608.0,0.0,608.0,0.0,0.0,430.670013
110,3,420.2,0.0,420.2,0.0,420.2,0.0,0.0,430.670013
110,4,277.6,0.0,277.6,0.0,277.6,0.0,0.0,430.670013
111,0,0.0,0.0,592.4,0.0,592.4,0.0,0.0,484.73999
111,1,0.0,0.0,515.8,0.0,515.8,0.0,0.0,484.73999
111,2,0.0,0.0,608.0,0.0,608.0,0.0,0.0,484.73999
111,3,30.922683,0.0,420.2,0.0,420.2,0.0,0.0,484.73999
111,4,0.0,0.0,277.6,0.0,277.6,0.0,0.0,484.73999
112,0,0.0,0.0,592.4,0.0,592.4,0.0,0.0,509.950012
112,1,0.0,0.0,515.8,0.0,515.8,0.0,0.0,509.950012
112,2,0.0,0.0,608.0,0.0,608.0,0.0,0.0,509.950012
112,3,0.0,0.0,420.2,0.0,420.2,0.0,0.0,509.950012
112,4,0.0,0.0,277.6,0.0,277.6,0.0,0.0,509.950012
113,0,0.0,0.0,493.8,0.0,493.8,0.0,0.0,515.23999
113,1,0.0,0.0,515.8,0.0,515.8,0.0,0.0,515.23999
113,2,0.0,0.0,608.0,0.0,608.0,0.0,0.0,515.23999
113,3,0.0,0.0,420.2,0.0,420.2,0.0,0.0,515.23999
113,4,0.0,0.0,277.6,0.0,277.6,0.0,0.0,515.23999
114,0,0.0,0.0,384.2,0.0,384.2,0.0,0.0,555.289978
114,1,0.0,0.0,438.8,0.0,438.8,0.0,0.0,555.289978
114,2,0.0,0.0,608.0,0.0,608.0,0.0,0.0,555.289978
114,3,0.0,0.0,351.2,0.0,351.2,0.0,0.0,555.289978
114,4,0.0,0.0,277.6,0.0,277.6,0.0,0.0,555.289978
115,0,0.0,0.0,267.0,0.0,267.0,0.0,0.0,709.659973
115,1,0.0,0.0,329.2,0.0,329.2,0.0,0.0,709.659973
115,2,0.0,0.0,454.0,0.0,454.0,0.0,0.0,709.659973
115,3,0.0,0.0,270.8,0.0,270.8,0.0,0.0,709.659973
115,4,0.0,0.0,277.6,0.0,277.6,0.0,0.0,709.659973
116,0,0.0,0.0,171.8,0.0,171.8,0.0,0.0,729.950012
116,1,0.0,0.0,219.6,0.0,219.6,0.0,0.0,729.950012
116,2,0.0,0.0,241.6,0.0,241.6,0.0,0.0,729.950012
116,3,0.0,0.0,193.8,0.0,193.8,0.0,0.0,729.950012
116,4,0.0,0.0,146.0,0.0,146.0,0.0,0.0,729.950012
117,0,0.0,0.0,102.4,0.0,102.4,0.0,0.0,594.669983
117,1,0.0,0.0,128.2,0.0,128.2,0.0,0.0,594.669983
117,2,0.0,0.0,139.2,0.0,139.2,0.0,0.0,594.669983
117,3,0.0,0.0,116.8,0.0,116.8,0.0,0.0,594.669983
117,4,0.0,0.0,72.8,0.0,72.8,0.0,0.0,594.669983
118,0,0.0,0.0,40.2,0.0,40.2,0.0,0.0,530.97998
118,1,0.0,0.0,44.0,0.0,44.0,0.0,0.0,530.97998
118,2,0.0,0.0,40.2,0.0,40.2,0.0,0.0,530.97998
118,3,0.0,0.0,102.4,0.0,102.4,0.0,0.0,530.97998
